行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,中正路,266號前,121.5242433,25.0950731,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,288號前,121.5233957,25.0948169,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,324號前,121.522682,25.0944878,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,408號前,121.5203623,25.0935002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號爭鮮前,121.5206322,25.0927289,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,250號新光會館前,121.5210761,25.0916854,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,106號公車站旁,121.5235742,25.088248,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,15號市場口對面,121.5243325,25.08736478,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,3號對面,121.5247339,25.08630145,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,台北藝術中心,劍潭捷運對面第一個,121.5249124,25.0853423,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,台北藝術中心,劍潭捷運對面第二個,121.5249124,25.0854462,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍潭捷運站,1號十字路出口,121.5250016,25.0857988,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍潭捷運站,1號公車站,121.5246447,25.0844107,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,235號對面,121.5267859,25.0907239,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,小北街,1之3號對面,121.5266967,25.0903924,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號第一個,121.5204516,25.0930239,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號第二個,121.5208084,25.0927741,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,351號前,121.522314,25.094329,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,345號前,121.522634,25.094441,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,281號前,121.5241987,25.0947935,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,255號前,121.5250462,25.0951326,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,412號對面,121.5248232,25.0941491,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,398號對面,121.5248232,25.0936518,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士林捷運站,1號出口對面,121.5260722,25.0926945,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,408號前,121.52038,25.093843,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號前,121.520501,25.092603,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,15號對面,121.524304,25.0870315,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,5號對面,121.524118,25.087085,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,臺北藝術中心,前面,121.524812,25.085885,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,劍潭捷運站,1號出口,121.525077,25.084873,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,235號對面,121.526994,25.090798,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,279號前,121.522839,25.094525,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,404巷對面,121.524769,25.093618,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大南路口,121.525928,25.087523,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大南路口,121.525928,25.087523,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大南路口,121.525928,25.087523,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,安平街,,121.526535,25.088609,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,安平街,,121.526535,25.088609,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,大東路,101巷口,121.525904,25.088406,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,大東路,101巷口,121.525904,25.088406,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,大東路,101巷口,121.525904,25.088406,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大東路口,121.525397,25.086572,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大東路口,121.525397,25.086572,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大東路口,121.525397,25.086572,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,大東路口,121.525397,25.086572,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,文林路口,121.525096,25.086586,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,文林路口,121.525096,25.086586,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,60號,121.524963,25.085494,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,60號,121.524963,25.085494,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,新士林市場,,121.524155,25.088002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,新士林市場,,121.524155,25.088002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,新士林市場,,121.524155,25.088002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河大南路,路口,121.522774,25.089828,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河大南路,路口,121.522774,25.089828,嚴禁投入家用垃圾，違者重罰新台幣6000元
